sku,Termék neve,"Súly
kg",Típus,nemtudommi,Hozzavalok,Price without VAT ,BARCODE,Legal Product Name ,Product Description ,Additives - EU ,Analytical Constituents - EU ,Ingredients ,Recommended for ,Not Recommended for,PictureUrl
604408,Hill's Canine Healthy Weight Treats 220 g,0.22,száraz,6,,"1,680",52742026473,Hill's Canine Healthy Weight Jutalomfalat,Kiegészítő állateledel felnőtt kutyák számára a fogyás és a súlyfenntartás támogatására. Nagyszerű ízét kutyája imádni fogja!,"ADALÉKANYAGOK: Természetes tartósítószerrel és antioxidánssal. Metabolizálható energia (számított): 14,4MJ/kg.","ANALITIKAI ÖSSZETEVŐK: Fehérje 19,6%, Zsírtartalom 10,2%, Nyersrost 3,5%, Nyershamu 4,7%, Kalcium 0,72%, Foszfor 0,58%, Nátrium 0,32%, Kálium 0,69%, Magnézium 0,17%.","Csirkével: búza, csirke- (17%) és pulykaliszt, kukoricaglutén-liszt, borsókorpa, kukorica, szárított paradicsomtörköly, hidrolizált húskivonat, cellulóz, lenmag, állati zsír, szárított cukorrépapép, kókuszolaj, szárított sárgarépa, vitaminok, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).",0,0,
604403,Hill's Canine Hypoallergenic Treats 220 g,0.22,száraz,6,,"1,680",52742002910,Hill's Hypoallergenic jutalomfalat kutyáknak,"Kiegészítő állateledel eleségintoleranciával küzdő kutyák számára és a bőr működésének támogatására. Kiváló íz, melyet kutyája imádni fog!","ADALÉKANYAGOK/KG: Tápértékkel rendelkező adalékanyagok: 3b103 (Vas) 120mg, 3b202 (Jód) 5,3mg, 3b405 (Réz) 11,9mg, 3b502 (Mangán) 12,4mg, 3b603 (Cink) 187mg; természetes antioxidánssal.","ANALITIKAI ÖSSZETEVŐK: Fehérje 19,1%, zsírtartalom 13,8%, nyersrost 4,5%, esszenciális zsírsavak 3,9%, nyershamu 5,0%, kalcium 0,64%, foszfor 0,49%, nátrium 0,33%, kálium 0,74%, magnézium 0,05%; kilogrammonként: A-vitamin 13 381NE , D3-vitamin 697NE, E-vitamin 500mg, C-vitamin 90mg, béta-karotin 1,5mg.","Original: kukoricakeményítő, csirkemáj és szív hidrolizátum, cellulóz, ásványi anyagok,  szójaolaj, állati zsír, vitaminok, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).",0,0,
607100,SP Canine Puppy Chicken 370 g,0.37,konzerv,12,csirke,820,52742050874,Hill's Science Plan PUPPY KUTYAELEDEL CSIRKÉVEL,"A Hill's Science Plan PUPPY KUTYAELEDEL CSIRKÉVEL teljes értékű konzerv eledel fejlődő kölyökkutyáknak az elválasztástól 1 éves korig, valamint vemhes és szoptató szukáknak.","ADALÉKANYAGOK/KG: Tápértékkel rendelkező adalékanyagok: 3b103 (vas) 9,6 mg, 3b202 (jód) 0,3 mg, 3b405 (réz) 1,6 mg, 3b502 (mangán) 2,1 mg, 3b603 (cink) 24,6 mg. ","ANALITIKAI ÖSSZETEVŐK: fehérje 6,8%, zsírtartalom 5,3%, nyersrost 1,2%, nyershamu 2,0%, nedvességtartalom 76,0%, kilogrammonként: A-vitamin 19 330 NE, D3-vitamin 406 NE. ","Csirkével: csirke (21%), sertésmáj, árpa, kukorica, cellulóz, ásványi anyagok, hidrolizált húskivonat, rizsliszt, halolaj, vitaminok, nyomelemek és béta-karotin.","1 évnél fiatalabb kölyökkutyáknak, vemhes vagy szoptató szukáknak.",Felnőtt vagy idős kutyáknak.,https://github.com/totapp91/hills/607100/BK32625M SP Ca Puppy Ckn Can 3D Full Front EU.png
604347,SP Canine Puppy Small&Miniature Chicken 300 g,0.3,száraz,6,csirke,920,52742281605,Hill's Science Plan Small & Mini Puppy kutyaeledel Csirkével,"A Hill's Science Plan SMALL & MINI PUPPY KUTYAELEDEL CSIRKÉVEL (csirke 17%; összes baromfi 27%) kiváló minőségű és teljes értékű állateledel kistestű kutyák kölykei számára 4 hetestől 12 hónapos korig, valamint vemhes vagy szoptatós kutyák számára.","ADALÉKANYAGOK /KG: Tápértékkel rendelkező adalékanyagok: 3b103 (Vas) 67.5mg, 3b202 (Jód) 1.1mg, 3b405 (Réz) 6.7mg, 3b502 (Mangán) 7.0mg, 3b603 (Cink) 140mg, 3b801 (Szelén) 0.1mg; természetes antioxidánssal.","ANALITIKAI ÖSSZETEVŐK: Fehérje 27.2%, Zsírtartalom 17.7%, Nyersrost 1.5%, DHA 0.16%, Nyershamu 7.0%, Kalcium 1.3%, Foszfor 1.0%, Nátrium 0.49%, Kálium 0.78%, Magnézium 0.09%; kilogrammonként: A-vitamin 10,791NE, D3-vitamin 757NE, E-vitamin 690mg, C-vitamin 105mg, Béta-karotin 1.5mg.","Csirkével: Csirke (17%) -és pulykaliszt (összes baromfi 27%), kukorica, búza, állati zsiradék, hidrolizált húskivonat, tört rizs, kukoricaglutén-liszt, szárított répapép, ásványi anyagok, halolaj, lenmag, vitaminok, szárított paradicsomtörköly, szárított citruspép, szárított spenót, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).","1 évnél fiatalabb kölyökkutyáknak, ha a felnőtt méretük várhatóan 10 kg alatti, valamint vemhes vagy szoptató szukáknak.",Felnőtt vagy idős kutyáknak.,https://github.com/totapp91/hills/604347/121918-SP-K9_Pup_SM_Ckn_2p5k_-render.png
604230,SP Canine Puppy Small&Miniature Chicken 1.5 kg,1.5,száraz,6,csirke,"4,250",52742281704,Hill's Science Plan Small & Mini Puppy kutyaeledel Csirkével,"A Hill's Science Plan SMALL & MINI PUPPY KUTYAELEDEL CSIRKÉVEL (csirke 17%; összes baromfi 27%) kiváló minőségű és teljes értékű állateledel kistestű kutyák kölykei számára 4 hetestől 12 hónapos korig, valamint vemhes vagy szoptatós kutyák számára.","ADALÉKANYAGOK /KG: Tápértékkel rendelkező adalékanyagok: 3b103 (Vas) 67.5mg, 3b202 (Jód) 1.1mg, 3b405 (Réz) 6.7mg, 3b502 (Mangán) 7.0mg, 3b603 (Cink) 140mg, 3b801 (Szelén) 0.1mg; természetes antioxidánssal.","ANALITIKAI ÖSSZETEVŐK: Fehérje 27.2%, Zsírtartalom 17.7%, Nyersrost 1.5%, DHA 0.16%, Nyershamu 7.0%, Kalcium 1.3%, Foszfor 1.0%, Nátrium 0.49%, Kálium 0.78%, Magnézium 0.09%; kilogrammonként: A-vitamin 10,791NE, D3-vitamin 757NE, E-vitamin 690mg, C-vitamin 105mg, Béta-karotin 1.5mg.","Csirkével: Csirke (17%) -és pulykaliszt (összes baromfi 27%), kukorica, búza, állati zsiradék, hidrolizált húskivonat, tört rizs, kukoricaglutén-liszt, szárított répapép, ásványi anyagok, halolaj, lenmag, vitaminok, szárított paradicsomtörköly, szárított citruspép, szárított spenót, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).","1 évnél fiatalabb kölyökkutyáknak, ha a felnőtt méretük várhatóan 10 kg alatti, valamint vemhes vagy szoptató szukáknak.",Felnőtt vagy idős kutyáknak.,https://github.com/totapp91/hills/604230/121918-SP-K9_Pup_SM_Ckn_2p5k_-render.png
604345,SP Canine Puppy Small&Miniature Chicken 3 kg,3,száraz,4,csirke,"7,330",52742281803,Hill's Science Plan Small & Mini Puppy kutyaeledel Csirkével,"A Hill's Science Plan SMALL & MINI PUPPY KUTYAELEDEL CSIRKÉVEL (csirke 17%; összes baromfi 27%) kiváló minőségű és teljes értékű állateledel kistestű kutyák kölykei számára 4 hetestől 12 hónapos korig, valamint vemhes vagy szoptatós kutyák számára.","ADALÉKANYAGOK /KG: Tápértékkel rendelkező adalékanyagok: 3b103 (Vas) 67.5mg, 3b202 (Jód) 1.1mg, 3b405 (Réz) 6.7mg, 3b502 (Mangán) 7.0mg, 3b603 (Cink) 140mg, 3b801 (Szelén) 0.1mg; természetes antioxidánssal.","ANALITIKAI ÖSSZETEVŐK: Fehérje 27.2%, Zsírtartalom 17.7%, Nyersrost 1.5%, DHA 0.16%, Nyershamu 7.0%, Kalcium 1.3%, Foszfor 1.0%, Nátrium 0.49%, Kálium 0.78%, Magnézium 0.09%; kilogrammonként: A-vitamin 10,791NE, D3-vitamin 757NE, E-vitamin 690mg, C-vitamin 105mg, Béta-karotin 1.5mg.","Csirkével: Csirke (17%) -és pulykaliszt (összes baromfi 27%), kukorica, búza, állati zsiradék, hidrolizált húskivonat, tört rizs, kukoricaglutén-liszt, szárított répapép, ásványi anyagok, halolaj, lenmag, vitaminok, szárított paradicsomtörköly, szárított citruspép, szárított spenót, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).","1 évnél fiatalabb kölyökkutyáknak, ha a felnőtt méretük várhatóan 10 kg alatti, valamint vemhes vagy szoptató szukáknak.",Felnőtt vagy idős kutyáknak.,https://github.com/totapp91/hills/604345/121918-SP-K9_Pup_SM_Ckn_2p5k_-render.png
605527,SP Canine Puppy Small&Miniature Chicken 6 kg,6,száraz,1,csirke,"12,430",52742038599,Hill's Science Plan Small & Mini Puppy kutyaeledel Csirkével,"A Hill's Science Plan SMALL & MINI PUPPY KUTYAELEDEL CSIRKÉVEL (csirke 17%; összes baromfi 27%) kiváló minőségű és teljes értékű állateledel kistestű kutyák kölykei számára 4 hetestől 12 hónapos korig, valamint vemhes vagy szoptatós kutyák számára.","ADALÉKANYAGOK /KG: Tápértékkel rendelkező adalékanyagok: 3b103 (Vas) 67.5mg, 3b202 (Jód) 1.1mg, 3b405 (Réz) 6.7mg, 3b502 (Mangán) 7.0mg, 3b603 (Cink) 140mg, 3b801 (Szelén) 0.1mg; természetes antioxidánssal.","ANALITIKAI ÖSSZETEVŐK: Fehérje 27.2%, Zsírtartalom 17.7%, Nyersrost 1.5%, DHA 0.16%, Nyershamu 7.0%, Kalcium 1.3%, Foszfor 1.0%, Nátrium 0.49%, Kálium 0.78%, Magnézium 0.09%; kilogrammonként: A-vitamin 10,791NE, D3-vitamin 757NE, E-vitamin 690mg, C-vitamin 105mg, Béta-karotin 1.5mg.","Csirkével: Csirke (17%) -és pulykaliszt (összes baromfi 27%), kukorica, búza, állati zsiradék, hidrolizált húskivonat, tört rizs, kukoricaglutén-liszt, szárított répapép, ásványi anyagok, halolaj, lenmag, vitaminok, szárított paradicsomtörköly, szárított citruspép, szárított spenót, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).","1 évnél fiatalabb kölyökkutyáknak, ha a felnőtt méretük várhatóan 10 kg alatti, valamint vemhes vagy szoptató szukáknak.",Felnőtt vagy idős kutyáknak.,https://github.com/totapp91/hills/605527/121918-SP-K9_Pup_SM_Ckn_2p5k_-render.png
606588,SP Canine Puppy Small&Miniature Lamb&Rice 300 g,0.3,száraz,6,"bárány
és rizs",920,52742048895,Hill's Science Plan SMALL & MINI PUPPY BÁRÁNNYAL és RIZZSEL kutyaeledel,"A Hill's Science Plan SMALL & MINI PUPPY BÁRÁNNYAL és RIZZSEL kutyaeledel kiváló minőségű, teljes értékű eledel kistestű kölyökkutyáknak 4 hetes kortól 12 hónapos korig, valamint vemhes vagy szoptató szukák számára.","ADALÉKANYAGOK/KG: Tápértékkel rendelkező adalékanyagok: 3b103 (vas) 86,4 mg, 3b202 (jód) 2,1 mg, 3b405 (réz) 8,5 mg, 3b502 (mangán) 8,9 mg, 3b603 (cink) 151 mg, 3b801 (szelén) 0,2 mg, természetes antioxidánssal. ","ANALITIKAI ÖSSZETEVŐK: fehérje 28,4%, zsírtartalom 18,0%, nyersrost 2,1%, nyershamu 7,6%, DHA 0,16%, kalcium 1,4%, foszfor 1,0%, nátrium 0,47%, kálium 0,76%, magnézium 0,12%; kilogrammonként: A-vitamin 10,445 NE, D3-vitamin 825 NE, E-vitamin 690 mg, C-vitamin 105 mg, béta-karotin 1,5 mg. ","BÁRÁNYHÚSSAL ÉS RIZZSEL: kukorica, bárányliszt (16%), kukoricaglutén-liszt, szójaliszt, állati zsír, tört rizs (8%), hidrolizált húskivonat, szárított répapép, ásványi anyagok, halolaj, lenmag, vitaminok, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).",0,0,https://github.com/totapp91/hills/606588/BK31629M SP Ca Puppy Small Lamb & Rice 3D Front.png
606589,SP Canine Puppy Small&Miniature Lamb&Rice 1.5 kg,1.5,száraz,6,"bárány
és rizs","4,250",52742048871,Hill's Science Plan SMALL & MINI PUPPY BÁRÁNNYAL és RIZZSEL kutyaeledel,"A Hill's Science Plan SMALL & MINI PUPPY BÁRÁNNYAL és RIZZSEL kutyaeledel kiváló minőségű, teljes értékű eledel kistestű kölyökkutyáknak 4 hetes kortól 12 hónapos korig, valamint vemhes vagy szoptató szukák számára.","ADALÉKANYAGOK/KG: Tápértékkel rendelkező adalékanyagok: 3b103 (vas) 86,4 mg, 3b202 (jód) 2,1 mg, 3b405 (réz) 8,5 mg, 3b502 (mangán) 8,9 mg, 3b603 (cink) 151 mg, 3b801 (szelén) 0,2 mg, természetes antioxidánssal. ","ANALITIKAI ÖSSZETEVŐK: fehérje 28,4%, zsírtartalom 18,0%, nyersrost 2,1%, nyershamu 7,6%, DHA 0,16%, kalcium 1,4%, foszfor 1,0%, nátrium 0,47%, kálium 0,76%, magnézium 0,12%; kilogrammonként: A-vitamin 10,445 NE, D3-vitamin 825 NE, E-vitamin 690 mg, C-vitamin 105 mg, béta-karotin 1,5 mg. ","BÁRÁNYHÚSSAL ÉS RIZZSEL: kukorica, bárányliszt (16%), kukoricaglutén-liszt, szójaliszt, állati zsír, tört rizs (8%), hidrolizált húskivonat, szárított répapép, ásványi anyagok, halolaj, lenmag, vitaminok, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).",0,0,https://github.com/totapp91/hills/606589/BK31629M SP Ca Puppy Small Lamb & Rice 3D Front.png
606590,SP Canine Puppy Small&Miniature Lamb&Rice 3 kg,3,száraz,4,"bárány
és rizs","7,330",52742048857,Hill's Science Plan SMALL & MINI PUPPY BÁRÁNNYAL és RIZZSEL kutyaeledel,"A Hill's Science Plan SMALL & MINI PUPPY BÁRÁNNYAL és RIZZSEL kutyaeledel kiváló minőségű, teljes értékű eledel kistestű kölyökkutyáknak 4 hetes kortól 12 hónapos korig, valamint vemhes vagy szoptató szukák számára.","ADALÉKANYAGOK/KG: Tápértékkel rendelkező adalékanyagok: 3b103 (vas) 86,4 mg, 3b202 (jód) 2,1 mg, 3b405 (réz) 8,5 mg, 3b502 (mangán) 8,9 mg, 3b603 (cink) 151 mg, 3b801 (szelén) 0,2 mg, természetes antioxidánssal. ","ANALITIKAI ÖSSZETEVŐK: fehérje 28,4%, zsírtartalom 18,0%, nyersrost 2,1%, nyershamu 7,6%, DHA 0,16%, kalcium 1,4%, foszfor 1,0%, nátrium 0,47%, kálium 0,76%, magnézium 0,12%; kilogrammonként: A-vitamin 10,445 NE, D3-vitamin 825 NE, E-vitamin 690 mg, C-vitamin 105 mg, béta-karotin 1,5 mg. ","BÁRÁNYHÚSSAL ÉS RIZZSEL: kukorica, bárányliszt (16%), kukoricaglutén-liszt, szójaliszt, állati zsír, tört rizs (8%), hidrolizált húskivonat, szárított répapép, ásványi anyagok, halolaj, lenmag, vitaminok, nyomelemek és béta-karotin. Természetes antioxidánssal (tokoferolkeverék).",0,0,https://github.com/totapp91/hills/606590/BK31629M SP Ca Puppy Small Lamb & Rice 3D Front.png
